date_time	source_currency	source_amount	target_currency	target_amount	platform
2021/04/22 20:30:30	WBTC	3.86569	CWBTC	193.20245569	evm
2021/04/30 05:44:32	ETH	34.807224165	CETH	1736.39007944	evm
2021/05/17 10:54:58	CWBTC	99.93181662	WBTC	2.0	evm
2021/05/17 11:26:34	CWBTC	93.27063798	WBTC	1.86668593	evm
2021/05/19 04:08:38	CETH	1736.39007944	ETH	34.801855403	evm
2021/08/09 06:32:53	ETH	0.9013065821	WETH	0.9	evm
2021/08/09 11:42:08	WETH	0.7	ETH	0.7	evm
2021/09/19 11:34:58	ETH	7.9887957869	STETH	7.9853749552	evm
2021/10/22 09:37:24	STETH	7.988627	ETH	7.9360872217	evm
2021/12/27 03:02:13	WFTM	5864.0	FTM	5864.0	evm
2021/12/27 03:29:14	WFTM	887.3732235981	FTM	887.3732235981	evm
2021/12/27 03:38:22	WFTM	158.9588927654	FTM	158.9588927654	evm
2021/12/27 09:49:09	WFTM	542.0855165959	FTM	542.0855165959	evm
2021/12/27 10:54:01	FTM	1681.914409707	WFTM	1681.9065637757	evm
2021/12/27 12:11:07	FTM	3249.0038795726	WFTM	3249.0	evm
2022/01/05 15:05:07	FTM	1435.019580021	WFTM	1435.0	evm
2022/01/05 15:16:38	FTM	47.0198927955	WFTM	47.0	evm
2022/01/05 15:29:19	WFTM	4969.0593347076	FTM	4969.0593347076	evm
2022/01/06 03:46:17	FTM	4970.02741592	WFTM	4970.0	evm
2022/01/08 14:24:59	WFTM	4970.0	FTM	4970.0	evm
2022/01/09 08:42:09	FTM	4990.0072801477	WFTM	4990.0	evm
2022/01/11 09:30:27	WFTM	4990.0464620671	FTM	4990.0464620671	evm
2022/01/19 13:53:07	WFTM	9671.0	FTM	9671.0	evm
2022/01/20 11:11:36	FTM	6412.0160713251	WFTM	6412.0	evm
2022/01/21 11:50:18	WFTM	6324.0769181334	FTM	6324.0769181334	evm
2022/01/21 11:53:44	WFTM	90.2029283834	FTM	90.2029283834	evm
2022/01/21 13:48:48	FTM	2541.0526275129	WFTM	2541.0	evm
2022/01/22 06:36:07	WFTM	2528.1879194497	FTM	2528.1879194497	evm
2024/03/06 04:21:27	ETH	0.1001645683	AARBWETH	0.1	evm
2024/03/06 04:23:28	ETH	0.8501604164	AARBWETH	0.8500000059	evm
2024/03/06 04:30:41	AARBWETH	0.9500000059	ETH	0.9500002074	evm
2024/03/10 08:25:59	ETH	60.0120118389	AETHWETH	60.0	evm
2024/03/13 01:43:59	AETHWETH	60.0	ETH	60.0079033209	evm
2024/03/15 03:13:17	ETH	28.8000298702	AARBWETH	28.8	evm
2024/03/19 01:29:43	AARBWETH	2.994128807	ETH	3.0	evm
2024/03/19 01:32:35	AARBWETH	5.9999975843	ETH	6.0	evm
2024/03/19 01:34:42	AARBWETH	5.9999986303	ETH	6.0	evm
2024/03/19 01:36:21	AARBWETH	5.9999992554	ETH	6.0	evm
2024/03/19 01:37:57	AARBWETH	2.9999995525	ETH	3.0	evm
2024/03/19 01:39:28	AARBWETH	4.8058761704	ETH	4.8058764085	evm
2024/05/01 15:11:27	ETH	65.0000026083	AARBWETH	65.0	evm
2024/05/01 18:58:22	AARBWETH	0.0013978114	ETH	0.002	evm
2024/05/01 19:03:52	AARBWETH	64.9986021887	ETH	64.9986162974	evm
2024/05/31 13:39:13	ETH	27.0000042257	AARBWETH	27.0	evm
2024/06/11 03:32:27	ETH	38.40000244	AARBWETH	38.4253941796	evm
2024/06/13 14:09:31	ETH	5.3700032521	AARBWETH	5.3794889145	evm
2024/06/13 14:13:43	ETH	4.0400034863	AARBWETH	4.0400118259	evm
2024/06/13 14:17:16	ETH	4.9632305071	AARBWETH	4.96323758	evm
2024/06/13 14:20:53	ETH	1.4258966363	AARBWETH	1.4259047865	evm
2024/06/18 04:06:33	ETH	14.1802645541	AARBWETH	14.201629023	evm
2024/06/18 04:07:40	AARBWETH	0.1399959023	ETH	0.14	evm
2024/06/18 12:08:22	AARBWETH	14.998246614	ETH	15.0	evm
2024/06/18 12:25:12	ETH	5.0000145236	WETH	5.0	evm
2024/06/18 12:45:27	AARBWETH	4.9998845844	ETH	5.0	evm
2024/06/18 12:49:20	AARBWETH	14.9999888511	ETH	15.0	evm
2024/06/18 12:52:21	AARBWETH	19.9999930627	ETH	20.0	evm
2024/06/18 12:57:12	AARBWETH	9.9999925424	ETH	10.0	evm
2024/06/18 12:59:03	AARBWETH	9.9999978672	ETH	10.0	evm
2024/06/18 13:01:14	AARBWETH	9.9999983133	ETH	10.0	evm
2024/06/18 13:04:04	AARBWETH	9.9999988891	ETH	10.0	evm
2024/06/18 13:04:40	AARBWETH	0.2975696831	ETH	0.2975696899	evm
2024/06/20 11:48:55	ETH	0.8324955386	AARBWETH	0.8321713125	evm
2024/06/24 16:28:20	AARBWETH	49.9599721745	ETH	50.0	evm
2024/06/24 16:31:37	AARBWETH	41.5677036375	ETH	41.5677089002	evm
2024/06/26 13:46:26	ETH	66.58000224	AARBWETH	66.58	evm
2024/08/30 14:35:58	AARBWETH	11.8293920928	ETH	12.0	evm
2024/08/30 14:39:30	AARBWETH	54.727055497	ETH	54.7270625842	evm
